"gene","logFC","logCPM","F","PValue","FDR","pct_tumor_cells_descriptive","pct_normal_cells_descriptive","experimental_unit","is_cell_cycle_like"
"NR3C1",-3.19367806768261,2.29941550236694,94.0601691980817,1.58371051315371e-07,2.9371194318645e-05,0.0228994187070636,0.0910951893551689,"paired_patient_pseudobulk",FALSE
"SLC6A6",2.43308835382775,3.82947375707828,83.0264171915806,1.60420981017499e-07,2.9371194318645e-05,0.259996477012507,0.0348004094165814,"paired_patient_pseudobulk",FALSE
"CPNE8",-5.40826406379937,2.65936494946669,83.6680608747599,1.69318800570815e-07,3.05510009725602e-05,0.00686982561211908,0.12589559877175,"paired_patient_pseudobulk",FALSE
"CA4",-7.65454301661882,8.03638133964976,95.980351207182,1.76196965506211e-07,3.13378888650332e-05,0.0651752686277964,0.407369498464688,"paired_patient_pseudobulk",FALSE
"CD177",-5.86020186714247,4.8696769537961,112.721860811857,1.81477204004946e-07,3.1822411124811e-05,0.0195525805883389,0.212896622313204,"paired_patient_pseudobulk",FALSE
"FBXO2",5.31086813657593,3.39612271221899,73.2343711477599,1.8644822410554e-07,3.19356720290855e-05,0.169279549057601,0.00307062436028659,"paired_patient_pseudobulk",FALSE
"CPT1A",-1.65450197183298,4.80177208965929,99.3429900543089,1.87253338001867e-07,3.19356720290855e-05,0.214902237097058,0.262026612077789,"paired_patient_pseudobulk",FALSE
"MYEOV",3.01803150990192,4.14223191706463,93.169085531587,1.93713032471481e-07,3.22455107125612e-05,0.367271446186366,0.0276356192425793,"paired_patient_pseudobulk",FALSE
"TRPM2",3.48792355247338,2.7348635861342,56.3550477711392,1.94250064533501e-07,3.22455107125612e-05,0.153073806587987,0.00614124872057318,"paired_patient_pseudobulk",FALSE
"SLC4A4",-6.14565328418975,4.18597234333859,95.3003537099199,2.02119174841845e-07,3.31103121944864e-05,0.0125066056015501,0.24360286591607,"paired_patient_pseudobulk",FALSE
"RP11-395B7.2",-2.4804290948431,3.92981158888596,95.8939089773633,2.07921277988849e-07,3.36184404020931e-05,0.100228994187071,0.207778915046059,"paired_patient_pseudobulk",FALSE
"XXbac-BPG32J3.19",8.40845989496071,4.32910536594823,166.65417411889,2.26383756710622e-07,3.61343303980416e-05,0.239387000176149,0.00102354145342886,"paired_patient_pseudobulk",FALSE
"ZG16",-10.4126095856302,10.8084177876483,89.8530516913249,2.29790925598796e-07,3.62138863760128e-05,0.0202571780870178,0.448311156601842,"paired_patient_pseudobulk",FALSE
"ACADS",-2.52736458755389,5.85457198579002,95.1888500579943,2.37165659196793e-07,3.6908905712501e-05,0.246785273912278,0.420675537359263,"paired_patient_pseudobulk",FALSE
"CEMIP",6.04531159411242,3.23217422513037,90.6284803151672,2.40708502790337e-07,3.69977883918481e-05,0.219482120838471,0.00204708290685773,"paired_patient_pseudobulk",FALSE
"CNTN3",-6.78546630183109,-0.110792457714097,84.6096823682321,2.47081112348212e-07,3.75141444967712e-05,0.00035229874933944,0.0307062436028659,"paired_patient_pseudobulk",FALSE
"CPM",-4.64003702174074,3.69898914575173,94.6926549849551,2.55348734353433e-07,3.83023101530149e-05,0.0227232693323939,0.200614124872057,"paired_patient_pseudobulk",FALSE
"GCNT2",-4.84627758628664,-0.343187818807496,61.6552824412543,2.59957164576063e-07,3.85293654639522e-05,0.0017614937466972,0.0214943705220061,"paired_patient_pseudobulk",FALSE
"SLC22A18AS",-1.99637547937339,5.03604626788925,92.9445896280306,2.74937525139189e-07,4.02702610350929e-05,0.185132992777876,0.302968270214944,"paired_patient_pseudobulk",FALSE
"ZBTB16",-5.82910589262169,-0.470507934475749,67.3507185723334,2.94513594198222e-07,4.26359796252078e-05,0.00070459749867888,0.022517911975435,"paired_patient_pseudobulk",FALSE
"NEDD4L",-2.19784061913317,5.79396857598454,91.2361685258648,3.04202852581411e-07,4.35324771797537e-05,0.305443015677294,0.399181166837257,"paired_patient_pseudobulk",FALSE
"ADH1B",-5.76746248621719,-0.32457166155885,66.6418897481314,3.14259958387421e-07,4.44606418400385e-05,0.00052844812400916,0.0276356192425793,"paired_patient_pseudobulk",FALSE
"CPNE7",4.18912096099056,2.97431009839919,55.7379674624905,3.18851263487183e-07,4.46033509035442e-05,0.210674652104985,0.00511770726714432,"paired_patient_pseudobulk",FALSE
"NKD1",8.01958854488435,3.96763578400053,170.853439725814,3.43090699773807e-07,4.74608801353766e-05,0.229874933943985,0.00102354145342886,"paired_patient_pseudobulk",FALSE
