"dataset","contrast","case_condition","reference_condition","cell_class","feature","n_pairs","mean_paired_difference","bootstrap_CI_low","bootstrap_CI_high","median_paired_difference","paired_difference_sd","paired_Cohen_dz","Wilcoxon_p","paired_t_p_sensitivity","status","BH_FDR","score_type"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","M1_interstitial_pericellular_collagen",10,0.0489984545829228,-0.598664435912225,0.72430778926758,-0.285176726551049,1.12150020198257,0.0436900987590585,0.918812683274642,0.893155593606215,"estimated",0.918812683274642,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","M2_basement_membrane",10,-0.182901521224038,-0.696623051186766,0.422887691614612,-0.420825888405071,0.964708226163891,-0.189592579666638,0.414823067184775,0.563596742454146,"estimated",0.456305373903252,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","M3_matrix_organizing_glycoproteins",10,-0.928965246378172,-1.5263626986867,-0.256414868306631,-1.37228441791526,1.06522097546997,-0.872086888796302,0.0249324556028631,0.0221925569106784,"estimated",0.137128505815747,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","M4_secreted_heparin_binding_factors",10,-1.4255907305136,-2.38092099111342,-0.586151089384434,-1.18336842306847,1.4531457592289,-0.981037670488112,0.0190588916017305,0.0126750518527682,"estimated",0.137128505815747,"module"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","ECM19_structural_gene_equal",10,-0.300193707148663,-0.859446802285436,0.357275963344989,-0.504601044788554,1.0254572960435,-0.292741305081056,0.308063229907199,0.378740828096029,"estimated",0.423586941122398,"structural_core"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","ECM21_gene_equal",10,-0.456953569084503,-1.07766089294433,0.256452948983863,-0.589816073898799,1.11661936473228,-0.409229486355953,0.153576396549984,0.227850999765126,"estimated",0.337868072409964,"full_panel_gene_equal"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","ECM21_minus_M1_interstitial_pericellular_collagen",10,-0.689586422610316,-1.29235823017086,-0.0103228192448702,-0.982695915671791,1.11499045104716,-0.618468455907114,0.102917539402853,0.0822014182840209,"estimated",0.337868072409964,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","ECM21_minus_M2_basement_membrane",10,-0.604836189709444,-1.31393125752011,0.12823183292368,-0.766435462027005,1.24115499877009,-0.487317208816627,0.185143724157873,0.157697818105737,"estimated",0.339430160956101,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","ECM21_minus_M3_matrix_organizing_glycoproteins",10,-0.299259808545179,-0.940521791619506,0.376455451239925,-0.376045998305457,1.12534961046137,-0.265926078227804,0.358951435852626,0.422165265190324,"estimated",0.438718421597654,"leave_one_module_out"
"GSE132465","Tumor_vs_Normal","Tumor","Normal","B_Plasma","ECM21_minus_M4_secreted_heparin_binding_factors",10,-0.300193707148663,-0.853354190126705,0.365758002924954,-0.504601044788554,1.0254572960435,-0.292741305081056,0.308063229907199,0.378740828096029,"estimated",0.423586941122398,"leave_one_module_out"
