cohort_split,time,n_risk,n_event,n_censor,survival,lower,upper,risk_group
Discovery,86.0,39,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,89.0,38,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,90.0,36,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,91.0,34,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,92.0,33,0,4,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,93.0,29,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,94.0,27,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,95.0,26,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,97.0,24,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,98.0,22,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,101.0,21,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,103.0,20,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,105.0,18,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,106.0,17,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,107.0,16,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,108.0,15,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,109.0,14,0,2,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,120.0,12,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,121.0,11,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,122.0,10,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,127.0,9,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,132.0,8,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,133.0,7,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,135.0,6,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,140.0,5,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,147.0,4,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,164.0,3,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,183.0,2,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,192.0,1,0,1,0.7363106461910988,0.6713395626601975,0.8075695189868731,Low
Discovery,1.0,205,1,2,0.9951219512195122,0.9856300576097333,1.0,High
Discovery,2.0,202,2,2,0.9852692586331804,0.968861109131515,1.0,High
Discovery,3.0,198,4,0,0.9653648291658434,0.9404795506477583,0.9909085771705816,High
Discovery,4.0,194,3,0,0.9504365070653408,0.9209523825967548,0.9808645604623996,High
Discovery,5.0,191,3,3,0.9355081849648381,0.9022039316617314,0.9700418424515805,High
Discovery,6.0,185,4,0,0.9152809809655984,0.8775424103144752,0.9546424927966009,High
Discovery,7.0,181,1,3,0.9102241799657885,0.8714927062921872,0.9506769842278135,High
Discovery,9.0,177,5,1,0.8845116325091279,0.8411912102100735,0.9300630089187224,High
Discovery,10.0,171,2,1,0.8741664672166235,0.8292099653239958,0.9215603337659002,High
Discovery,11.0,168,1,0,0.8689630953879531,0.8232188723898528,0.9172492109590762,High
Discovery,12.0,167,2,1,0.8585563517306124,0.811313486935097,0.9085501732278569,High
Discovery,13.0,164,2,1,0.8480861523192634,0.7994187769211228,0.8997163220581444,High
Discovery,14.0,161,4,3,0.8270156889076047,0.7757182670387635,0.8817053545873789,High
Discovery,15.0,154,1,1,0.8216454571614514,0.7697102040042026,0.8770849779073013,High
Discovery,16.0,152,0,1,0.8216454571614514,0.7697102040042026,0.8770849779073013,High
Discovery,17.0,151,3,2,0.8053213752310915,0.7515294312686069,0.8629635652582959,High
Discovery,18.0,146,5,0,0.7777418760793418,0.7211275739583387,0.8388008552871669,High
Discovery,19.0,141,0,1,0.7777418760793418,0.7211275739583387,0.8388008552871669,High
Discovery,20.0,140,1,1,0.7721865769644893,0.7150501793301854,0.8338884834665532,High
Discovery,21.0,138,3,1,0.7553999122478701,0.6967665961615275,0.8189672561337943,High
Discovery,23.0,134,1,0,0.7497625994699009,0.6906524771830834,0.8139317154940799,High
Discovery,25.0,133,1,4,0.7441252866919317,0.6845542721021589,0.808880266854452,High
Discovery,26.0,128,1,1,0.738311807889651,0.6782531143872995,0.8036886438209803,High
Discovery,27.0,126,1,1,0.7324521903667173,0.6719117573718184,0.79844742302392,High
Discovery,28.0,124,1,1,0.7265453178637599,0.6655290027469078,0.7931556652392703,High
Discovery,31.0,122,0,1,0.7265453178637599,0.6655290027469078,0.7931556652392703,High
Discovery,32.0,121,2,2,0.7145363043453506,0.6525741346435384,0.782381806331323,High
Discovery,33.0,117,1,3,0.7084291564449631,0.6459964623546355,0.7768956936265808,High
Discovery,34.0,113,1,0,0.7021598718746537,0.6392364751259475,0.7712771483728141,High
Discovery,35.0,112,1,0,0.6958905873043443,0.6324963007222868,0.7656388012795876,High
Discovery,36.0,111,1,2,0.6896213027340349,0.6257754514091598,0.7599811403813501,High
Discovery,37.0,108,0,1,0.6896213027340349,0.6257754514091598,0.7599811403813501,High
Discovery,39.0,107,1,1,0.6831762438299784,0.6188569196015503,0.7541804338782235,High
Discovery,41.0,105,1,2,0.6766698034125501,0.6118832596038808,0.7483159829324332,High
Discovery,42.0,102,0,1,0.6766698034125501,0.6118832596038808,0.7483159829324332,High
Discovery,43.0,101,1,3,0.6699701023886635,0.6046918633910925,0.7422953164566894,High
Discovery,46.0,97,0,4,0.6699701023886635,0.6046918633910925,0.7422953164566894,High
Discovery,47.0,93,0,3,0.6699701023886635,0.6046918633910925,0.7422953164566894,High
Discovery,48.0,90,0,1,0.6699701023886635,0.6046918633910925,0.7422953164566894,High
Discovery,49.0,89,0,1,0.6699701023886635,0.6046918633910925,0.7422953164566894,High
Discovery,50.0,88,0,2,0.6699701023886635,0.6046918633910925,0.7422953164566894,High
Discovery,51.0,86,0,2,0.6699701023886635,0.6046918633910925,0.7422953164566894,High
Discovery,52.0,84,0,2,0.6699701023886635,0.6046918633910925,0.7422953164566894,High
Discovery,53.0,82,2,1,0.6536293681840619,0.586671467008491,0.728229298641709,High
Discovery,54.0,79,1,0,0.6453555787133777,0.5775986784540051,0.7210609000893753,High
Discovery,55.0,78,0,2,0.6453555787133777,0.5775986784540051,0.7210609000893753,High
Discovery,56.0,76,1,2,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,57.0,73,0,2,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,59.0,71,0,2,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,60.0,69,0,3,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,61.0,66,0,2,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,63.0,64,0,1,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,66.0,63,0,1,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,67.0,62,0,3,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,68.0,59,0,2,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,70.0,57,0,1,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,72.0,56,0,1,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,73.0,55,0,2,0.6368640579408332,0.5682927406644896,0.7137093249204848,High
Discovery,74.0,53,1,1,0.6248477549608175,0.5542560521233502,0.7044302274802805,High
Discovery,75.0,51,0,3,0.6248477549608175,0.5542560521233502,0.7044302274802805,High
Discovery,76.0,48,0,2,0.6248477549608175,0.5542560521233502,0.7044302274802805,High
Discovery,77.0,46,0,2,0.6248477549608175,0.5542560521233502,0.7044302274802805,High
Discovery,78.0,44,1,1,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,79.0,42,0,1,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,81.0,41,0,1,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,82.0,40,0,2,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,83.0,38,0,2,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,85.0,36,0,1,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,86.0,35,0,3,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,87.0,32,0,4,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,90.0,28,0,1,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,91.0,27,0,1,0.6106466696207989,0.5372420093332032,0.6940807841549547,High
Discovery,93.0,26,1,2,0.5871602592507682,0.5056912837397461,0.6817542265981759,High
Discovery,95.0,23,0,1,0.5871602592507682,0.5056912837397461,0.6817542265981759,High
Discovery,97.0,22,0,1,0.5871602592507682,0.5056912837397461,0.6817542265981759,High
Discovery,105.0,21,0,1,0.5871602592507682,0.5056912837397461,0.6817542265981759,High
Discovery,106.0,20,0,1,0.5871602592507682,0.5056912837397461,0.6817542265981759,High
Discovery,112.0,19,0,1,0.5871602592507682,0.5056912837397461,0.6817542265981759,High
Discovery,117.0,18,0,2,0.5871602592507682,0.5056912837397461,0.6817542265981759,High
Discovery,118.0,16,0,1,0.5871602592507682,0.5056912837397461,0.6817542265981759,High
Discovery,119.0,15,1,0,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,120.0,14,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,127.0,13,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,129.0,12,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,130.0,11,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,140.0,10,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,141.0,9,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,153.0,8,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,154.0,7,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,158.0,6,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,163.0,5,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,168.0,4,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,172.0,3,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,183.0,2,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Discovery,201.0,1,0,1,0.5480162419673836,0.44800275540280915,0.6703570409740627,High
Validation,1.0,40,0,1,1.0,1.0,1.0,Low
Validation,2.0,39,1,0,0.9743589743589743,0.9259936187693136,1.0,Low
Validation,4.0,38,1,0,0.9487179487179487,0.881957588098772,1.0,Low
Validation,8.0,37,1,0,0.9230769230769231,0.8431232944540162,1.0,Low
Validation,14.0,36,0,1,0.9230769230769231,0.8431232944540162,1.0,Low
Validation,18.0,35,1,0,0.8967032967032967,0.805758529814259,0.9979128641727366,Low
Validation,19.0,34,3,0,0.8175824175824176,0.7040044337329674,0.949484090598006,Low
Validation,24.0,31,0,1,0.8175824175824176,0.7040044337329674,0.949484090598006,Low
Validation,34.0,30,1,0,0.7903296703296703,0.6710116897335515,0.9308645398583634,Low
Validation,42.0,29,0,1,0.7903296703296703,0.6710116897335515,0.9308645398583634,Low
Validation,45.0,28,1,0,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,48.0,27,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,49.0,26,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,53.0,25,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,56.0,24,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,62.0,23,0,2,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,66.0,21,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,67.0,20,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,68.0,19,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,69.0,18,0,2,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,72.0,16,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,74.0,15,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,75.0,14,0,2,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,81.0,12,0,2,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,86.0,10,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,87.0,9,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,97.0,8,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,100.0,7,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,104.0,6,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,118.0,5,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,125.0,4,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,131.0,3,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,134.0,2,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,142.0,1,0,1,0.7621036106750392,0.6375093968800584,0.9110483959081225,Low
Validation,3.0,69,1,1,0.9855072463768116,0.957708167165715,1.0,High
Validation,5.0,67,3,0,0.9413800562405364,0.8872553442256148,0.9988065059905573,High
Validation,6.0,64,1,0,0.926670992861778,0.8668122696522486,0.9906633293918855,High
Validation,8.0,63,1,0,0.9119619294830197,0.8471050607256627,0.9817844319262452,High
Validation,9.0,62,1,0,0.8972528661042614,0.8279679644022158,0.9723355737725413,High
Validation,11.0,61,1,0,0.8825438027255029,0.8092927127360605,0.9624250304885833,High
Validation,12.0,60,0,1,0.8825438027255029,0.8092927127360605,0.9624250304885833,High
Validation,13.0,59,3,0,0.8376686941123418,0.7542784659797143,0.9302782364129528,High
Validation,14.0,56,1,0,0.8227103245746213,0.7365342734958649,0.9189691539391464,High
Validation,15.0,55,1,0,0.807751955036901,0.7190339779263092,0.907416396020167,High
Validation,16.0,54,1,0,0.7927935854991807,0.7017551463745482,0.8956424081187792,High
Validation,17.0,53,0,1,0.7927935854991807,0.7017551463745482,0.8956424081187792,High
Validation,19.0,52,2,0,0.762301524518443,0.6670062123830789,0.8712116971249431,High
