"cohort","model","comparison","score_A","score_B","n","events","bootstrap_reps_requested","bootstrap_reps_successful","bootstrap_success_fraction","Cindex_A_apparent","Cindex_B_apparent","delta_Cindex_apparent","delta_Cindex_boot_median","CI_lower","CI_upper","bootstrap_probability_delta_gt_0","reliable_bootstrap"
"Pooled","caf_primary","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",471,138,1000,647,0.647,0.647188398702809,0.645495523057782,0.0016928756450264,0.000767810081138798,-0.0109743722275269,0.0133172271095541,0.573415765069552,FALSE
"Pooled","caf_primary","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",471,138,1000,647,0.647,0.647188398702809,0.647433151808114,-0.000244753105305029,-0.000161495447847049,-0.00454151739284765,0.00336239522496293,0.426584234930448,FALSE
"Pooled","caf_primary","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",471,138,1000,647,0.647,0.647188398702809,0.645067205123498,0.00212119357931018,0.00104844231427592,-0.00526270498400214,0.00949917697384009,0.650695517774343,FALSE
"Pooled","caf_primary","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",471,138,1000,647,0.647,0.645067205123498,0.652430194374758,-0.00736298925125944,-0.00517453798767964,-0.0269468084028342,0.00784548185135394,0.200927357032458,FALSE
"Pooled","caf_stratified","ECM21_gene_equal_minus_best_module_frozen","ECM21_gene_equal","M2",471,138,1000,1000,1,0.575190193558914,0.584653980297375,-0.00946378673846093,-0.00631508796336833,-0.0328050377306781,0.00706888444087989,0.193,TRUE
"Pooled","caf_stratified","ECM21_gene_equal_minus_M1","ECM21_gene_equal","M1",471,138,1000,1000,1,0.575190193558914,0.572457117216341,0.0027330763425728,0.00193549843015711,-0.0117860348458589,0.0238423487220233,0.652,TRUE
"Pooled","caf_stratified","ECM21_gene_equal_minus_M2","ECM21_gene_equal","M2",471,138,1000,1000,1,0.575190193558914,0.584653980297375,-0.00946378673846093,-0.00631508796336833,-0.0328050377306781,0.00706888444087989,0.193,TRUE
"Pooled","caf_stratified","ECM21_gene_equal_minus_M3","ECM21_gene_equal","M3",471,138,1000,1000,1,0.575190193558914,0.570172754900161,0.00501743865875293,0.00192221556902383,-0.0205025053452018,0.0324609237101899,0.613,TRUE
"Pooled","caf_stratified","ECM21_gene_equal_minus_M4","ECM21_gene_equal","M4",471,138,1000,1000,1,0.575190193558914,0.571845234453079,0.00334495910583532,0.00129276473498025,-0.0240727498565007,0.0370380721413802,0.566,TRUE
"Pooled","caf_stratified","ECM21_gene_equal_minus_ECM19_structural","ECM21_gene_equal","ECM19_structural",471,138,1000,1000,1,0.575190193558914,0.576699504374962,-0.00150931081604766,-0.000641186140275307,-0.0072581531997997,0.00445936054552954,0.367,TRUE
"Pooled","caf_stratified","ECM21_gene_equal_minus_ECM21_module_balanced","ECM21_gene_equal","ECM21_module_balanced",471,138,1000,1000,1,0.575190193558914,0.571559689163556,0.00363050439535784,0.00197039450215042,-0.0086248903322179,0.0172656106719763,0.695,TRUE
"Pooled","caf_stratified","ECM21_module_balanced_minus_best_module_frozen","ECM21_module_balanced","M2",471,138,1000,1000,1,0.571559689163556,0.584653980297375,-0.0130942911338188,-0.00889803246451359,-0.0435699964858339,0.0114311465183212,0.197,TRUE
