"cohort","model","score","status","reason","n","events","HR","CI_lower","CI_upper","p_value","BH_FDR_M1_to_M4"
"Pooled","clinical_stratified","LOMO_minus_M3","completed","",471,138,1.21967042188201,1.03288334227848,1.44023615942173,0.0192067494664187,
"Pooled","clinical_stratified","LOMO_minus_M4","completed","",471,138,1.21360387256709,1.02464693705191,1.43740668736827,0.0249633428674858,
"Pooled","caf_primary","M1","completed","",471,138,1.04905286033921,0.774217872940697,1.42144988155057,0.757349270331035,0.850686728218174
"Pooled","caf_primary","M2","completed","",471,138,1.26549559955021,0.947871651778136,1.68955270418383,0.110284144523224,0.441136578092896
"Pooled","caf_primary","M3","completed","",471,138,0.967138894337702,0.682962881326168,1.36955853167963,0.850686728218174,0.850686728218174
"Pooled","caf_primary","M4","completed","",471,138,0.962704710818484,0.786333770784364,1.17863481725784,0.712776349148867,0.850686728218174
"Pooled","caf_primary","ECM21_gene_equal","completed","",471,138,1.19101221484872,0.817164798295537,1.73589231802154,0.363100412014484,
"Pooled","caf_primary","ECM21_module_balanced","completed","",471,138,1.09167884483357,0.747537173083275,1.59425208962069,0.64982795431246,
"Pooled","caf_primary","ECM19_structural","completed","",471,138,1.19998956432998,0.834255963885629,1.72605892775885,0.325627331101645,
"Pooled","caf_primary","LOMO_minus_M1","completed","",471,138,1.23455794933003,0.85059529379326,1.79184312607356,0.267592734985932,
"Pooled","caf_primary","LOMO_minus_M2","completed","",471,138,1.00057232909907,0.692263647726837,1.44619031931861,0.997570908322837,
"Pooled","caf_primary","LOMO_minus_M3","completed","",471,138,1.21992601747888,0.866112659621456,1.71827472048766,0.255328866145797,
"Pooled","caf_primary","LOMO_minus_M4","completed","",471,138,1.19998956432998,0.834255963885629,1.72605892775885,0.325627331101645,
"Pooled","caf_stratified","M1","completed","",471,138,1.06229986861481,0.781869338375122,1.44331150420125,0.699147446334136,0.82186100677211
"Pooled","caf_stratified","M2","completed","",471,138,1.28327679678857,0.959279428029129,1.71670452743821,0.0929611403911609,0.371844561564644
"Pooled","caf_stratified","M3","completed","",471,138,0.960547113480333,0.676612004763241,1.3636334423866,0.82186100677211,0.82186100677211
"Pooled","caf_stratified","M4","completed","",471,138,0.965289516264298,0.787887490952229,1.18263566931825,0.733127647644484,0.82186100677211
"Pooled","caf_stratified","ECM21_gene_equal","completed","",471,138,1.20870439274838,0.827798981621674,1.76488053438672,0.326365736265411,
"Pooled","caf_stratified","ECM21_module_balanced","completed","",471,138,1.10555237402732,0.756663080036059,1.61531080868807,0.603980018002544,
"Pooled","caf_stratified","ECM19_structural","completed","",471,138,1.21697485012472,0.844147193137307,1.75446628014219,0.29271978470833,
"Pooled","caf_stratified","LOMO_minus_M1","completed","",471,138,1.24789847106558,0.859292912326328,1.81224652472918,0.244676511815695,
"Pooled","caf_stratified","LOMO_minus_M2","completed","",471,138,1.0082366019573,0.696411832087826,1.4596837656805,0.965341999125625,
"Pooled","caf_stratified","LOMO_minus_M3","completed","",471,138,1.24315523037997,0.880349256302747,1.75547933477166,0.216384305675921,
"Pooled","caf_stratified","LOMO_minus_M4","completed","",471,138,1.21697485012472,0.844147193137307,1.75446628014219,0.29271978470833,
