iteration,wald_z,HR_per_SD,mean_matching_distance,maximum_matching_distance,n_genes,unique_genes,genes,warning
3186,-2.28755494154528,0.800140679821191,0.315110035238392,1.2006155730361,21,21,"ANP32E;PRRX1;SGK1;SLC44A3;LRP12;PRNP;CES2;CKB;MLPH;DCAF13;ZNF697;IPO5;SNHG30;CRBN;ACSL1;RNA45SN5;RNF114;CNN1;ST7L;ERCC6L;FMOD",""
3187,-2.50933212336686,0.777702363220117,0.287388899865536,0.768937706332304,21,21,"MUC1;CCL5;PFDN4;RPS11;NOX4;CTSS;NOX1;SLC12A2;FAM3D;HMOX1;MAP4K5;BTN3A2;FSTL3;PRXL2B;PLTP;DNAJC12;GCH1;PDGFC;YAF2;TMEM200B;LNX1",""
3188,-1.58366967738117,0.878160380367976,0.286209576802273,0.925119059718994,21,21,"PPP1R14C;SMOC2;PMP22;ATP2C2;REN;TUBA1A;MX1;HLA-DPB1;SCNN1A;PRRG4;KNL1;IRF8;DTWD1;SAE1;FAM110C;ASCL2;HAT1;TMC5;AP4S1;CIP2A;PTK6",""
3189,-1.15700349224655,0.887638684582201,0.238446406113391,0.992347616864732,21,21,"AZGP1;ID4;DPYSL2;SLC35A3;LOC389831;CTSK;EPHB3;PAPSS2;PYGB;AMT;CD300A;TMEM30B;GMPS;MRPL52;DNAJC15;COL8A1;CANX;CCL18;IPO9;NOL3;WDR4",""
3190,-1.00127231293297,0.895632389043225,0.277208713891914,1.14242639443513,21,21,"GALC;MX1;CDC42;PAPOLA;CLEC7A;MT1H;PM20D2;MT1X;CTSK;STIL;RETSAT;FZD5;SLC27A5;FNIP2;TYROBP;COL5A2;SMAP1;IGKV1-17;PXN;LIG4;DNAJC15",""
3191,-1.49235580022284,0.865407533750371,0.268701512263342,1.24049471881103,21,21,"BST2;TCIM;ANKRD22;NUDT4;GIMAP8;PLOD2;RNA45SN5;ID1;DMBT1;STARD4;CLYBL;MZT1;BLOC1S6;ADK;ADORA2B;PBK;INPP1;EPDR1;ZFPL1;DPY19L4;ASPM",""
3192,-0.0739409063070688,0.992690251432201,0.299322240732207,1.00783932924561,21,21,"ADIRF;SRSF6;ISG15;FAR2;TAF9B;ALYREF;GJA1;SNHG29;PLA2G2A;HBEGF;MOSPD1;SLC67A1;ZDHHC23;C2CD5;TLE2;EPDR1;MZT1;PPP1R14D;PXN;TOR1AIP1;PRPS2",""
3193,-1.95057253301744,0.816887860864514,0.282728722923107,1.19735217809345,21,21,"QPCT;NOX1;MRPS21;EPHX1;MAP9;MALL;RAB31;S100A14;IGKV4-1;IAH1;USP9X;NAP1L1;KIF21B;WDR12;CFB;CHN2;HAT1;PLCB4;ESD;GATA2-AS1;RFTN1",""
3194,-0.86760128400304,0.917254664269516,0.277267257430705,0.835334640682894,21,21,"EFNA2;AMIGO2;SPARC;CDH3;KANK4;ISG15;MT1X;ITGA6;SERPINA1;IL6ST;WARS2;AURKA;METRN;DNMT1;CREB3L1;NOX1;HADH;CXCL8;RPLP2;MIPEPP3;FAR2",""
3195,-1.65532396769307,0.837860539451733,0.289697074320852,1.10716399598793,21,21,"PLCB4;BHLHE41;TRAF5;PAPOLA;CD69;GAS5;SPARC;VIL1;TXNIP;RFTN1;PAWR;PCM1;FSTL3;SCAND1;DNAJC15;MAFB;FAM8A1;PDZK1IP1;MAP4K1;CLCN5;ACTR2",""
3196,-0.308254541435928,0.96787256785316,0.22212984860528,0.940176537907891,21,21,"MATN2;FGFR3;APIP;AKR1B1;MET;ISG15;ANTXR1;DDIT4;MT2A;ECM1;CRYM;MARCHF6;CEP20;RNF135;MMP11;MUC1;ALDOA;HOXA10;MAPK8IP2;EFCAB7;EPHX1",""
3197,-1.88303155231283,0.803853220303666,0.302615146134509,1.18302855854619,21,21,"TMEM200A;PPP1R14D;RNF128;F2RL1;CLIC2;FUT4;MT1G;CES2;C11ORF96;GRB10;MALT1;RAD21;ZNF432;GLUD1;SLC6A8;C3;DNMT1;MYL9;EHBP1;GIMAP1;NR4A1",""
3198,-1.79536089189464,0.845184813965252,0.330787562816092,1.18438086536598,21,21,"CD163;FARP1;CDH3;KRCC1;ACER2;GALNT3;LOC105379173;TGFBI;PDZK1IP1;UHMK1;HES4;GRTP1;GGT7;MGAT2;TRIM13;SRSF6;RPS6KA3;CEMIP;SPTY2D1;CDX2;PIK3AP1",""
3199,-0.923121691382228,0.90285298783748,0.270475076826825,1.11864567645154,21,21,"TRIM29;AKAP12;MALL;KANK2;SATB1;RNF128;GGH;FABP5;NNMT;CMTM3;SPTBN1;FMR1;FSTL3;PSMC6;CRACR2A;AGR3;IER5;SLC1A1;TERF2;CCNL1;MECOM",""
3200,-2.87779742089178,0.741679003563804,0.274112046075676,1.1667506900815,21,21,"ARL14;FGL2;PRSS8;FITM2;RUNDC3B;TUBB2A;IGLV@;TDP2;CCN2;NUDT5;PDE4D;ROCK2;PPIL4;PPIA;GBP1;GPX3;ASAH1;AZGP1;MIR34AHG;AHNAK;JPH1",""
3201,-3.10723616250348,0.775728805175806,0.241659958338705,0.76483137122453,21,21,"KCTD12;TMEM200A;FAM13A;ANO9;SFRP1;MYB;CREB3L1;HSP90AB1;LDHB;OXR1;HIBADH;PLPP5;SLC30A4;SETD7;AHCYL2;CXCL1;MAFF;LRP4;UBE2D2;TRIP12;GINS2",""
3202,-1.74424331448223,0.860822258357885,0.260978428278201,0.992347616864732,21,21,"SERPING1;BGN;GAS5;FERMT1;CLIC2;TMEM45B;ARSL;PAM;PYGB;WDR54;AOAH;FEN1;SRPK2;GNA11;PLAAT3;PLCB4;GTF2IRD1;GZMB;MAPK8IP2;COLCA1;MECOM",""
